company_name,ticker,start_date,end_date,num_days,start_price,end_price
BHEL,BHEL.NS,1996-01-01,1999-12-30,1044,4.545985698699951,10.80218505859375
Bharat Petroleum,BPCL.NS,1996-01-02,1999-12-30,1043,2.944420099258423,5.236225128173828
Britannia Industries,BRITANNIA.NS,1996-01-02,1999-12-30,1043,7.37700891494751,49.539276123046875
Cipla,CIPLA.NS,1996-01-01,1999-12-30,1044,7.228331565856934,89.70365142822266
Dr. Reddy’s Laboratories,DRREDDY.NS,1996-01-01,1999-12-30,1044,9.592759132385254,60.073036193847656
GAIL India,GAIL.NS,1997-04-02,1999-12-30,717,4.9788408279418945,3.7223212718963623
Hindalco Industries,HINDALCO.NS,1996-01-01,1999-12-30,1044,58.14008331298828,52.639041900634766
Hindustan Petroleum,HINDPETRO.NS,1996-01-02,1999-12-30,1043,8.708691596984863,8.629770278930664
Hindustan Unilever,HINDUNILVR.NS,1996-01-01,1999-12-30,1044,33.360713958740234,117.91571044921875
IDBI Bank,IDBI.NS,1996-01-01,1999-12-30,1044,25.9926815032959,11.016128540039062
ITC Ltd.,ITC.NS,1996-01-01,1999-12-30,1044,2.9001805782318115,7.74373197555542
Indian Oil Corporation,IOC.NS,1996-04-15,1999-12-30,969,4.819818019866943,4.140633583068848
Mahindra & Mahindra,M&M.NS,1996-01-01,1999-12-30,1044,24.77086639404297,33.960609436035156
ONGC,ONGC.NS,1996-01-01,1999-12-30,1044,5.200869560241699,6.689205169677734
Reliance Industries,RELIANCE.NS,1996-01-01,1999-12-30,1044,4.617048740386963,12.263047218322754
State Bank of India,SBIN.NS,1996-01-01,1999-12-30,1044,11.965004920959473,14.382200241088867
Sun Pharma,SUNPHARMA.NS,1996-01-01,1999-12-30,1044,1.3970909118652344,10.899934768676758
Tata Motors,TATAMOTORS.NS,1996-01-01,1999-12-30,1044,52.527034759521484,30.08795928955078
Tata Power,TATAPOWER.NS,1996-01-01,1999-12-30,1044,6.147127151489258,4.232271671295166
Tata Steel,TATASTEEL.NS,1996-01-01,1999-12-30,1044,5.08521842956543,3.774118423461914
